site_id,capacity_kw,n_positive_rows
ID_1,3.294,52570
ID_10,3.230023,52599
ID_100,5.912,52602
ID_101,3.19207,52599
ID_102,3.47818,52583
ID_103,4.483993,52602
ID_104,8.022,52600
ID_105,3.708102,52591
ID_106,5.548563,52573
ID_107,2.941984,52602
ID_108,3.566,52602
ID_109,3.662,52554
ID_11,3.314,52601
ID_110,4.172703,52593
ID_111,4.434,52579
ID_112,3.760562,52587
ID_113,3.02,52589
ID_114,5.994133,52588
ID_115,2.220328,52585
ID_116,2.732023,52599
ID_117,2.256219,52579
ID_118,2.914492,52585
ID_119,3.17,52583
ID_12,2.710023,52599
ID_120,5.502,52601
ID_121,4.1,48864
ID_122,6.03,52588
ID_123,2.494469,52578
ID_124,5.206,52600
ID_125,3.062,52602
ID_126,4.4,52595
ID_127,3.120101,52591
ID_128,3.596117,52589
ID_129,4.364,52595
ID_13,4.758,52594
ID_130,3.94007,52599
ID_131,5.808445,52586
ID_132,1.484,52596
ID_133,4.746016,52600
ID_134,8.020438,52590
ID_135,1.67,52602
ID_136,1.562,52585
ID_137,3.784,52601
ID_138,4.715992,52602
ID_139,4.06,52602
ID_14,2.978,52599
ID_140,2.852328,52585
ID_141,6.044,52593
ID_142,3.488,52596
ID_143,6.386078,52597
ID_144,2.368,52601
ID_145,3.85,52598
ID_146,2.606,52596
ID_147,7.1,52583
ID_148,4.420266,52588
ID_149,4.876375,52598
ID_15,1.46,52567
ID_150,1.594,51172
ID_151,3.25,52597
ID_152,7.254266,52568
ID_153,2.209992,52602
ID_154,3.198117,52589
ID_155,1.664,52577
ID_156,5.5,52599
ID_157,4.452,52593
ID_158,3.266,52547
ID_159,6.876266,52588
ID_16,4.222008,52600
ID_160,4.962,52575
ID_161,5.301266,52580
ID_162,3.314,52601
ID_163,2.174,52591
ID_164,3.008016,52600
ID_165,2.700234,52597
ID_166,4.626,52584
ID_167,3.820172,52584
ID_168,3.864078,52597
ID_169,2.412,52596
ID_17,5.704,52601
ID_170,2.606016,52600
ID_171,2.962,52422
ID_172,3.29818,52583
ID_173,3.34,52592
ID_174,2.365992,52602
ID_175,6.746156,52598
ID_176,3.760094,52598
ID_177,3.926,52601
ID_178,3.000625,52570
ID_179,3.426,52589
ID_18,2.640859,52584
ID_180,3.694203,52581
ID_181,4.126,52602
ID_182,1.926,52597
ID_183,2.222,52598
ID_184,3.066,52547
ID_185,5.062,52601
ID_186,1.736102,52591
ID_187,1.718281,52594
ID_188,7.617992,52602
ID_189,4.324,52599
ID_19,2.45,52558
ID_190,3.598,52592
ID_191,5.576,50501
ID_192,4.228,52602
ID_193,3.916141,52596
ID_194,4.490007,52600
ID_195,3.562211,52580
ID_196,2.742047,52599
ID_197,5.14,52592
ID_198,5.3,52512
ID_199,4.092,52598
ID_2,3.840789,48708
ID_20,5.976,52594
ID_200,5.646,52601
ID_201,6.322023,52600
ID_202,2.548563,52545
ID_203,4.64225,52576
ID_204,4.418781,52593
ID_205,4.412,52601
ID_206,4.132773,52575
ID_207,7.006008,52600
ID_208,2.686219,52579
ID_209,3.61818,52583
ID_21,6.35814,52518
ID_210,5.842844,52559
ID_211,2.634828,52560
ID_212,5.158,52598
ID_213,3.709984,52602
ID_214,3.826,52597
ID_215,4.212,52601
ID_216,2.42,52587
ID_217,4.32625,52595
ID_218,5.236,52595
ID_219,2.11,52598
ID_22,5.628,52600
