site_id,capacity_kw,n_positive_rows
ID_CYT (Station 1),21.821875,10726
ID_CYT (Station 2),24.053152,11484
ID_Indoor Sports Centre,8.574,35116
ID_LSK North,13.387321,43737
ID_LSK South,5.853242,41377
ID_Library,33.334,25604
ID_S H Ho Sports Hall,9.50057,34044
ID_SQ Apartment1-12,4.362,40144
ID_SQ Apartment13-24,4.344,40144
ID_SQ Apartment25-36,4.346,40108
ID_SQ Apartment37-48,3.051,39074
ID_SQ Apartment37-48 Flexible PV,4.747746,9252
ID_SQ Block P,7.641,7674
ID_SQ Block Q,16.50758,4429
ID_SQ Block Q (Phrase 2),5.016,4344
ID_SQ Block R,7.912,36258
ID_SQ Block S,6.830664,36068
ID_SQ1,6.890578,43043
ID_SQ10,21.851776,10714
ID_SQ11,23.047438,10758
ID_SQ12,22.838875,11876
ID_SQ13,21.137741,11827
ID_SQ14,23.71254,11638
ID_SQ15,23.987471,11907
ID_SQ16,24.482672,11832
ID_SQ17,27.757162,11393
ID_SQ18,22.95418,6292
ID_SQ19,24.244001,11926
ID_SQ2,6.856,43555
ID_SQ3,7.202731,43655
ID_SQ4,7.469,43717
ID_SQ567,9.843664,41890
ID_SQ567 Flexible PV,6.008985,8002
ID_SQ8,23.699907,11330
ID_SQ9,22.669926,11284
ID_Shaw Auditorium,16.51284,6573
ID_Tower A,31.832033,7630
ID_UG Hall2 2F,4.066308,39739
ID_UG Hall2 RF,2.084,41413
ID_UG Hall3,5.523,41683
ID_UG Hall4,6.408,41827
ID_UG Hall4 Flexible PV,14.995,2375
ID_UG Hall6,6.121684,43864
ID_UG Hall7,6.201414,43118
ID_UG Hall7 Flexible PV,1.886095,9182
ID_UG Hall8,5.262686,14010
ID_UG Hall9,5.70624,14877
ID_Wong Check She Research Centre,23.864246,34985
ID_Zone A1,7.475016,41998
ID_Zone A2,45.831703,41366
ID_Zone A4,12.667,41467
ID_Zone A5,4.042496,35502
ID_Zone A6,12.686212,36080
ID_Zone A7,2.653,34146
ID_Zone D,18.213785,32405
ID_Zone J1,5.322742,29727
ID_Zone J2,11.03169,32863
ID_Zone L1 (Station 1),22.305347,11756
ID_Zone L1(Station 2),23.822001,11815
ID_Zone L2,1.982,23881
