site_id,split,n_rare,n_rows,rare_rate_pct
ID_1,test,2365,7892,29.9671
ID_1,train,11158,36825,30.3001
ID_1,val,2440,7891,30.9213
ID_10,test,2093,7892,26.5205
ID_10,train,7422,36825,20.1548
ID_10,val,2064,7891,26.1564
ID_100,test,1046,7892,13.2539
ID_100,train,5352,36825,14.5336
ID_100,val,1217,7891,15.4226
ID_101,test,797,7892,10.0988
ID_101,train,2690,36825,7.3048
ID_101,val,596,7891,7.5529
ID_102,test,978,7892,12.3923
ID_102,train,4406,36825,11.9647
ID_102,val,1016,7891,12.8754
ID_103,test,1028,7892,13.0258
ID_103,train,4704,36825,12.7739
ID_103,val,1052,7891,13.3316
ID_104,test,944,7892,11.9615
ID_104,train,5601,36825,15.2098
ID_104,val,908,7891,11.5068
ID_105,test,838,7892,10.6183
ID_105,train,3995,36825,10.8486
ID_105,val,786,7891,9.9607
ID_106,test,1129,7892,14.3056
ID_106,train,5799,36825,15.7475
ID_106,val,1115,7891,14.13
ID_107,test,939,7892,11.8981
ID_107,train,7127,36825,19.3537
ID_107,val,1003,7891,12.7107
ID_108,test,1793,7892,22.7192
ID_108,train,8035,36825,21.8194
ID_108,val,1694,7891,21.4675
ID_109,test,604,7892,7.6533
ID_109,train,2744,36825,7.4515
ID_109,val,570,7891,7.2234
ID_11,test,977,7892,12.3796
ID_11,train,3976,36825,10.797
ID_11,val,910,7891,11.5321
ID_110,test,2587,7892,32.78
ID_110,train,13047,36825,35.4297
ID_110,val,2813,7891,35.6482
ID_111,test,1021,7892,12.9372
ID_111,train,2500,36825,6.7889
ID_111,val,715,7891,9.061
ID_112,test,2102,7892,26.6346
ID_112,train,9852,36825,26.7536
ID_112,val,2161,7891,27.3856
ID_113,test,949,7892,12.0248
ID_113,train,4368,36825,11.8615
ID_113,val,900,7891,11.4054
ID_114,test,1234,7892,15.6361
ID_114,train,6820,36825,18.52
ID_114,val,1355,7891,17.1715
ID_115,test,1140,7892,14.445
ID_115,train,5934,36825,16.1141
ID_115,val,1184,7891,15.0044
ID_116,test,960,7892,12.1642
ID_116,train,5606,36825,15.2234
ID_116,val,1329,7891,16.842
ID_117,test,1584,7892,20.071
ID_117,train,7691,36825,20.8853
ID_117,val,1493,7891,18.9203
ID_118,test,707,7892,8.9584
ID_118,train,3742,36825,10.1616
ID_118,val,827,7891,10.4803
ID_119,test,1440,7892,18.2463
ID_119,train,7218,36825,19.6008
ID_119,val,1432,7891,18.1473
ID_12,test,689,7892,8.7304
ID_12,train,3348,36825,9.0916
ID_12,val,588,7891,7.4515
ID_120,test,1123,7892,14.2296
ID_120,train,4720,36825,12.8174
ID_120,val,1127,7891,14.2821
ID_121,test,2588,7892,32.7927
ID_121,train,9737,36825,26.4413
ID_121,val,1556,7891,19.7187
ID_122,test,531,7892,6.7283
ID_122,train,2039,36825,5.537
ID_122,val,508,7891,6.4377
ID_123,test,2309,7892,29.2575
ID_123,train,9873,36825,26.8106
ID_123,val,2371,7891,30.0469
ID_124,test,1417,7892,17.9549
ID_124,train,7755,36825,21.0591
ID_124,val,1767,7891,22.3926
ID_125,test,949,7892,12.0248
ID_125,train,5331,36825,14.4766
ID_125,val,1011,7891,12.8121
ID_126,test,1125,7892,14.2549
ID_126,train,6190,36825,16.8092
ID_126,val,1318,7891,16.7026
ID_127,test,1371,7892,17.372
ID_127,train,4823,36825,13.0971
ID_127,val,1219,7891,15.448
ID_128,test,545,7892,6.9057
ID_128,train,1814,36825,4.926
ID_128,val,419,7891,5.3098
ID_129,test,1128,7892,14.293
ID_129,train,4396,36825,11.9375
ID_129,val,1115,7891,14.13
ID_13,test,1188,7892,15.0532
ID_13,train,6779,36825,18.4087
ID_13,val,1169,7891,14.8143
ID_130,test,1138,7892,14.4197
ID_130,train,6459,36825,17.5397
ID_130,val,1177,7891,14.9157
ID_131,test,517,7892,6.5509
ID_131,train,2174,36825,5.9036
ID_131,val,369,7891,4.6762
ID_132,test,890,7892,11.2772
ID_132,train,3666,36825,9.9552
ID_132,val,889,7891,11.266
ID_133,test,1852,7892,23.4668
ID_133,train,8714,36825,23.6633
ID_133,val,1945,7891,24.6483
ID_134,test,1439,7892,18.2337
ID_134,train,5423,36825,14.7264
ID_134,val,1620,7891,20.5297
ID_135,test,1090,7892,13.8115
ID_135,train,3386,36825,9.1948
ID_135,val,997,7891,12.6346
ID_136,test,1325,7892,16.7892
ID_136,train,5891,36825,15.9973
ID_136,val,1380,7891,17.4883
ID_137,test,1286,7892,16.295
ID_137,train,6823,36825,18.5282
ID_137,val,1310,7891,16.6012
ID_138,test,353,7892,4.4729
ID_138,train,3332,36825,9.0482
ID_138,val,778,7891,9.8593
ID_139,test,988,7892,12.519
ID_139,train,4483,36825,12.1738
ID_139,val,976,7891,12.3685
ID_14,test,1008,7892,12.7724
ID_14,train,6512,36825,17.6836
ID_14,val,824,7891,10.4423
ID_140,test,1219,7892,15.446
ID_140,train,4630,36825,12.573
ID_140,val,572,7891,7.2488
ID_141,test,792,7892,10.0355
ID_141,train,3376,36825,9.1677
ID_141,val,756,7891,9.5805
ID_142,test,1284,7892,16.2696
ID_142,train,6771,36825,18.387
ID_142,val,1490,7891,18.8823
ID_143,test,541,7892,6.855
ID_143,train,2633,36825,7.15
ID_143,val,623,7891,7.8951
ID_144,test,1061,7892,13.444
ID_144,train,4078,36825,11.074
ID_144,val,865,7891,10.9619
ID_145,test,959,7892,12.1515
ID_145,train,4485,36825,12.1792
ID_145,val,1052,7891,13.3316
ID_146,test,519,7892,6.5763
ID_146,train,3165,36825,8.5947
ID_146,val,572,7891,7.2488
ID_147,test,858,7892,10.8718
ID_147,train,4115,36825,11.1745
ID_147,val,817,7891,10.3536
ID_148,test,1478,7892,18.7278
ID_148,train,6500,36825,17.6511
ID_148,val,1306,7891,16.5505
ID_149,test,1552,7892,19.6655
ID_149,train,7486,36825,20.3286
ID_149,val,1762,7891,22.3292
ID_15,test,1854,7892,23.4921
ID_15,train,8014,36825,21.7624
ID_15,val,2234,7891,28.3107
ID_150,test,1834,7892,23.2387
ID_150,train,3963,36825,10.7617
ID_150,val,1312,7891,16.6265
ID_151,test,616,7892,7.8054
ID_151,train,3508,36825,9.5261
ID_151,val,725,7891,9.1877
ID_152,test,974,7892,12.3416
ID_152,train,4142,36825,11.2478
ID_152,val,883,7891,11.19
ID_153,test,1828,7892,23.1627
ID_153,train,8098,36825,21.9905
ID_153,val,1718,7891,21.7716
ID_154,test,1313,7892,16.6371
ID_154,train,7064,36825,19.1826
ID_154,val,1365,7891,17.2982
ID_155,test,1602,7892,20.299
ID_155,train,8439,36825,22.9165
ID_155,val,1774,7891,22.4813
ID_156,test,1622,7892,20.5525
ID_156,train,7649,36825,20.7712
ID_156,val,1675,7891,21.2267
ID_157,test,860,7892,10.8971
ID_157,train,6080,36825,16.5105
ID_157,val,1039,7891,13.1669
ID_158,test,907,7892,11.4927
ID_158,train,4857,36825,13.1894
ID_158,val,1020,7891,12.9261
ID_159,test,1080,7892,13.6847
ID_159,train,6793,36825,18.4467
ID_159,val,1133,7891,14.3581
ID_16,test,694,7892,8.7937
ID_16,train,1935,36825,5.2546
ID_16,val,803,7891,10.1762
ID_160,test,1115,7892,14.1282
ID_160,train,5090,36825,13.8221
ID_160,val,1040,7891,13.1796
ID_161,test,1621,7892,20.5398
ID_161,train,7373,36825,20.0217
ID_161,val,1665,7891,21.1
ID_162,test,2536,7892,32.1338
ID_162,train,10504,36825,28.5241
ID_162,val,1975,7891,25.0285
ID_163,test,1965,7892,24.8986
ID_163,train,8024,36825,21.7895
ID_163,val,1738,7891,22.0251
ID_164,test,692,7892,8.7684
ID_164,train,2960,36825,8.038
ID_164,val,779,7891,9.872
ID_165,test,1789,7892,22.6685
ID_165,train,7782,36825,21.1324
ID_165,val,1956,7891,24.7877
ID_166,test,1024,7892,12.9752
ID_166,train,4592,36825,12.4698
ID_166,val,1053,7891,13.3443
ID_167,test,1997,7892,25.3041
ID_167,train,9163,36825,24.8826
ID_167,val,2036,7891,25.8015
ID_168,test,1278,7892,16.1936
ID_168,train,3210,36825,8.7169
ID_168,val,1216,7891,15.41
ID_169,test,1579,7892,20.0076
ID_169,train,6536,36825,17.7488
ID_169,val,1183,7891,14.9918
ID_17,test,899,7892,11.3913
ID_17,train,5446,36825,14.7889
ID_17,val,1059,7891,13.4204
ID_170,test,687,7892,8.705
ID_170,train,3687,36825,10.0122
ID_170,val,739,7891,9.3651
ID_171,test,1981,7892,25.1014
ID_171,train,9826,36825,26.683
ID_171,val,2151,7891,27.2589
ID_172,test,794,7892,10.0608
ID_172,train,4388,36825,11.9158
ID_172,val,869,7891,11.0125
ID_173,test,1162,7892,14.7238
ID_173,train,3854,36825,10.4657
ID_173,val,826,7891,10.4676
ID_174,test,929,7892,11.7714
ID_174,train,4723,36825,12.8255
ID_174,val,846,7891,10.7211
ID_175,test,1438,7892,18.221
ID_175,train,6736,36825,18.2919
ID_175,val,1365,7891,17.2982
ID_176,test,2474,7892,31.3482
ID_176,train,9880,36825,26.8296
ID_176,val,2167,7891,27.4617
ID_177,test,1369,7892,17.3467
ID_177,train,6847,36825,18.5933
ID_177,val,1280,7891,16.221
ID_178,test,1648,7892,20.8819
ID_178,train,6705,36825,18.2077
ID_178,val,1434,7891,18.1726
ID_179,test,1295,7892,16.409
ID_179,train,5791,36825,15.7257
ID_179,val,1474,7891,18.6795
ID_18,test,1115,7892,14.1282
ID_18,train,5452,36825,14.8052
ID_18,val,1163,7891,14.7383
ID_180,test,1341,7892,16.9919
ID_180,train,5143,36825,13.9661
ID_180,val,1176,7891,14.9031
ID_181,test,1065,7892,13.4947
ID_181,train,4407,36825,11.9674
ID_181,val,1119,7891,14.1807
ID_182,test,406,7892,5.1445
ID_182,train,1610,36825,4.372
ID_182,val,396,7891,5.0184
ID_183,test,1248,7892,15.8135
ID_183,train,6023,36825,16.3557
ID_183,val,1106,7891,14.016
ID_184,test,2480,7892,31.4242
ID_184,train,7964,36825,21.6266
ID_184,val,2169,7891,27.487
ID_185,test,786,7892,9.9595
ID_185,train,4428,36825,12.0244
ID_185,val,989,7891,12.5333
ID_186,test,1233,7892,15.6234
ID_186,train,5006,36825,13.594
ID_186,val,998,7891,12.6473
ID_187,test,992,7892,12.5697
ID_187,train,3913,36825,10.6259
ID_187,val,765,7891,9.6946
ID_188,test,1240,7892,15.7121
ID_188,train,6782,36825,18.4168
ID_188,val,1009,7891,12.7867
ID_189,test,2473,7892,31.3355
ID_189,train,11196,36825,30.4033
ID_189,val,2483,7891,31.4662
ID_19,test,1176,7892,14.9012
ID_19,train,6106,36825,16.5811
ID_19,val,1554,7891,19.6933
ID_190,test,1155,7892,14.6351
ID_190,train,4605,36825,12.5051
ID_190,val,923,7891,11.6969
ID_191,test,1452,7892,18.3984
ID_191,train,6076,36825,16.4997
ID_191,val,1284,7891,16.2717
ID_192,test,1290,7892,16.3457
ID_192,train,3890,36825,10.5635
ID_192,val,1194,7891,15.1312
ID_193,test,940,7892,11.9108
ID_193,train,4650,36825,12.6273
ID_193,val,757,7891,9.5932
ID_194,test,2383,7892,30.1951
ID_194,train,7534,36825,20.4589
ID_194,val,2307,7891,29.2358
ID_195,test,974,7892,12.3416
ID_195,train,5091,36825,13.8248
ID_195,val,1053,7891,13.3443
ID_196,test,763,7892,9.668
ID_196,train,4224,36825,11.4705
ID_196,val,955,7891,12.1024
ID_197,test,1141,7892,14.4577
ID_197,train,7579,36825,20.5811
ID_197,val,1426,7891,18.0712
ID_198,test,1617,7892,20.4891
ID_198,train,7971,36825,21.6456
ID_198,val,1888,7891,23.926
ID_199,test,927,7892,11.7461
ID_199,train,3812,36825,10.3517
ID_199,val,804,7891,10.1888
ID_2,test,945,7892,11.9742
ID_2,train,4709,36825,12.7875
ID_2,val,524,4003,13.0902
ID_20,test,945,7892,11.9742
ID_20,train,5895,36825,16.0081
ID_20,val,1051,7891,13.319
ID_200,test,1199,7892,15.1926
ID_200,train,3723,36825,10.11
ID_200,val,886,7891,11.228
ID_201,test,1182,7892,14.9772
ID_201,train,4877,36825,13.2437
ID_201,val,1017,7891,12.8881
ID_202,test,1874,7892,23.7456
ID_202,train,9132,36825,24.7984
ID_202,val,1840,7891,23.3177
ID_203,test,1343,7892,17.0172
ID_203,train,5423,36825,14.7264
ID_203,val,1224,7891,15.5113
ID_204,test,951,7892,12.0502
ID_204,train,4530,36825,12.3014
ID_204,val,893,7891,11.3167
ID_205,test,1045,7892,13.2413
ID_205,train,6388,36825,17.3469
ID_205,val,1142,7891,14.4722
ID_206,test,1266,7892,16.0416
ID_206,train,5305,36825,14.406
ID_206,val,1271,7891,16.107
ID_207,test,1420,7892,17.9929
ID_207,train,4785,36825,12.9939
ID_207,val,1078,7891,13.6611
ID_208,test,1595,7892,20.2103
ID_208,train,6022,36825,16.353
ID_208,val,1261,7891,15.9802
ID_209,test,1074,7892,13.6087
ID_209,train,4859,36825,13.1948
ID_209,val,1072,7891,13.5851
ID_21,test,1069,7892,13.5454
ID_21,train,4148,36825,11.2641
ID_21,val,1114,7891,14.1173
ID_210,test,2030,7892,25.7223
ID_210,train,9436,36825,25.6239
ID_210,val,2098,7891,26.5873
ID_211,test,225,7892,2.851
ID_211,train,4703,36825,12.7712
ID_211,val,630,7891,7.9838
ID_212,test,1601,7892,20.2864
ID_212,train,7166,36825,19.4596
ID_212,val,1516,7891,19.2118
ID_213,test,348,7892,4.4095
ID_213,train,1759,36825,4.7766
ID_213,val,299,7891,3.7891
ID_214,test,827,7892,10.479
ID_214,train,4570,36825,12.41
ID_214,val,716,7891,9.0736
ID_215,test,1319,7892,16.7131
ID_215,train,6638,36825,18.0258
ID_215,val,1406,7891,17.8178
ID_216,test,1007,7892,12.7598
ID_216,train,4353,36825,11.8208
ID_216,val,763,7891,9.6692
ID_217,test,1776,7892,22.5038
ID_217,train,3851,36825,10.4576
ID_217,val,1420,7891,17.9952
ID_218,test,2111,7892,26.7486
ID_218,train,6702,36825,18.1996
ID_218,val,2238,7891,28.3614
ID_219,test,2115,7892,26.7993
