site_id,split,n_rare,n_rows,rare_rate_pct
ID_1199,test,1408,53486,2.6325
ID_1199,train,17739,249602,7.1069
ID_1199,val,3161,53486,5.91
ID_1239,test,2308,46566,4.9564
ID_1239,train,13323,217309,6.1309
ID_1239,val,2060,46566,4.4238
ID_1283,test,124,53037,0.2338
ID_1283,train,13692,247502,5.5321
ID_1283,val,1806,53036,3.4052
ID_1367,test,1346,37055,3.6324
ID_1367,train,6981,172927,4.037
ID_1367,val,1291,37056,3.4839
ID_1422,test,853,16826,5.0695
ID_1422,train,4006,78525,5.1016
ID_1422,val,1021,16827,6.0676
ID_34,test,6428,52203,12.3135
ID_34,train,12955,243614,5.3178
ID_34,val,3819,52203,7.3157
ID_4,test,4571,81591,5.6023
ID_4,train,24208,380755,6.3579
ID_4,val,5164,81590,6.3292
ID_4901,test,0,19076,0.0
ID_4901,train,733,89018,0.8234
ID_4901,val,0,19075,0.0
