site_id,split,n_rows,start,end
ID_1,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_1,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_1,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_10,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_10,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_10,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_100,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_100,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_100,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_101,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_101,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_101,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_102,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_102,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_102,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_103,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_103,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_103,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_104,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_104,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_104,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_105,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_105,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_105,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_106,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_106,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_106,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_107,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_107,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_107,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_108,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_108,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_108,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_109,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_109,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_109,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_11,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_11,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_11,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_110,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_110,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_110,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_111,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_111,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_111,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_112,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_112,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_112,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_113,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_113,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_113,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_114,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_114,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_114,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_115,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_115,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_115,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_116,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_116,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_116,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_117,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_117,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_117,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_118,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_118,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_118,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_119,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_119,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_119,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_12,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_12,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_12,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_120,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_120,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_120,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_121,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_121,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_121,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_122,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_122,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_122,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_123,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_123,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_123,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_124,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_124,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_124,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_125,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_125,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_125,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_126,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_126,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_126,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_127,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_127,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_127,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_128,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_128,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_128,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_129,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_129,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_129,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_13,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_13,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_13,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_130,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_130,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_130,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_131,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_131,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_131,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_132,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_132,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_132,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_133,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_133,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_133,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_134,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_134,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_134,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_135,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_135,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_135,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_136,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_136,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_136,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_137,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_137,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_137,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_138,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_138,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_138,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_139,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_139,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_139,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_14,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_14,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_14,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_140,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_140,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_140,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_141,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_141,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_141,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_142,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_142,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_142,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_143,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_143,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_143,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_144,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_144,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_144,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_145,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_145,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_145,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_146,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_146,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_146,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_147,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_147,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_147,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_148,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_148,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_148,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_149,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_149,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_149,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_15,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_15,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_15,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_150,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_150,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_150,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_151,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_151,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_151,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_152,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_152,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_152,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_153,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_153,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_153,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_154,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_154,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_154,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_155,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_155,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_155,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_156,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_156,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_156,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_157,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_157,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_157,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_158,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_158,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_158,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_159,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_159,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_159,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_16,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_16,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_16,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_160,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_160,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_160,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_161,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_161,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_161,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_162,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_162,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_162,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_163,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_163,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_163,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_164,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_164,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_164,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_165,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_165,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_165,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_166,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_166,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_166,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_167,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_167,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_167,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_168,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_168,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_168,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_169,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_169,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_169,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_17,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_17,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_17,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_170,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_170,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_170,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_171,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_171,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_171,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_172,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_172,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_172,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_173,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_173,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
ID_173,val,7891,2012-08-06 04:30:00,2013-01-17 13:30:00
ID_174,test,7892,2013-01-17 14:00:00,2013-06-30 23:30:00
ID_174,train,36825,2010-07-01 00:00:00,2012-08-06 04:00:00
