site_id,split,n_rows,start,end
ID_CYT (Station 1),test,14775,2023-07-31 01:30:00,2023-12-31 23:00:00
ID_CYT (Station 1),train,63643,2021-05-05 01:00:00,2023-02-26 23:30:00
ID_CYT (Station 1),val,14791,2023-02-26 23:45:00,2023-07-31 01:15:00
ID_CYT (Station 2),test,14775,2023-07-31 01:30:00,2023-12-31 23:00:00
ID_CYT (Station 2),train,61919,2021-05-23 00:00:00,2023-02-26 23:30:00
ID_CYT (Station 2),val,14791,2023-02-26 23:45:00,2023-07-31 01:15:00
ID_Indoor Sports Centre,test,14778,2023-07-31 01:30:00,2023-12-31 23:45:00
ID_Indoor Sports Centre,train,43391,2021-12-02 00:00:00,2023-02-26 23:30:00
ID_Indoor Sports Centre,val,14791,2023-02-26 23:45:00,2023-07-31 01:15:00
ID_LSK North,test,14778,2023-07-31 01:30:00,2023-12-31 23:45:00
ID_LSK North,train,61055,2021-06-01 00:00:00,2023-02-26 23:30:00
ID_LSK North,val,14791,2023-02-26 23:45:00,2023-07-31 01:15:00
ID_LSK South,test,14778,2023-07-31 01:30:00,2023-12-31 23:45:00
ID_LSK South,train,61055,2021-06-01 00:00:00,2023-02-26 23:30:00
ID_LSK South,val,14791,2023-02-26 23:45:00,2023-07-31 01:15:00
ID_Library,test,14778,2023-07-31 01:30:00,2023-12-31 23:45:00
ID_Library,train,26015,2022-06-01 00:00:00,2023-02-26 23:30:00
ID_Library,val,14791,2023-02-26 23:45:00,2023-07-31 01:15:00
ID_S H Ho Sports Hall,test,14778,2023-07-31 01:30:00,2023-12-31 23:45:00
ID_S H Ho Sports Hall,train,46367,2021-11-01 00:00:00,2023-02-26 23:30:00
ID_S H Ho Sports Hall,val,14791,2023-02-26 23:45:00,2023-07-31 01:15:00
ID_SQ Apartment1-12,test,14778,2023-07-31 01:30:00,2023-12-31 23:45:00
ID_SQ Apartment1-12,train,55199,2021-08-01 00:00:00,2023-02-26 23:30:00
ID_SQ Apartment1-12,val,14791,2023-02-26 23:45:00,2023-07-31 01:15:00
ID_SQ Apartment13-24,test,14778,2023-07-31 01:30:00,2023-12-31 23:45:00
ID_SQ Apartment13-24,train,55199,2021-08-01 00:00:00,2023-02-26 23:30:00
ID_SQ Apartment13-24,val,14791,2023-02-26 23:45:00,2023-07-31 01:15:00
ID_SQ Apartment25-36,test,14778,2023-07-31 01:30:00,2023-12-31 23:45:00
ID_SQ Apartment25-36,train,55199,2021-08-01 00:00:00,2023-02-26 23:30:00
ID_SQ Apartment25-36,val,14791,2023-02-26 23:45:00,2023-07-31 01:15:00
ID_SQ Apartment37-48,test,14778,2023-07-31 01:30:00,2023-12-31 23:45:00
ID_SQ Apartment37-48,train,55199,2021-08-01 00:00:00,2023-02-26 23:30:00
ID_SQ Apartment37-48,val,14791,2023-02-26 23:45:00,2023-07-31 01:15:00
ID_SQ Apartment37-48 Flexible PV,test,14771,2023-07-31 01:30:00,2023-12-31 22:00:00
ID_SQ Apartment37-48 Flexible PV,train,53059,2021-08-23 07:00:00,2023-02-26 23:30:00
ID_SQ Apartment37-48 Flexible PV,val,14791,2023-02-26 23:45:00,2023-07-31 01:15:00
ID_SQ Block P,test,14778,2023-07-31 01:30:00,2023-12-31 23:45:00
