site_id,split,n_rows,start,end
ID_1199,test,53486,2019-01-16 13:45:00,2020-07-26 17:00:00
ID_1199,train,249602,2010-05-26 09:45:00,2017-07-08 10:00:00
ID_1199,val,53486,2017-07-08 10:15:00,2019-01-16 13:30:00
ID_1239,test,46566,2019-03-29 15:45:00,2020-07-26 17:00:00
ID_1239,train,217309,2011-09-18 23:00:00,2017-11-29 14:00:00
ID_1239,val,46566,2017-11-29 14:15:00,2019-03-29 15:30:00
ID_1283,test,53037,2020-08-05 07:30:00,2022-02-08 18:30:00
ID_1283,train,247502,2012-01-09 17:00:00,2019-01-30 20:15:00
ID_1283,val,53036,2019-01-30 20:30:00,2020-08-05 07:15:00
ID_1367,test,37055,2019-05-04 18:15:00,2020-05-24 17:45:00
ID_1367,train,172927,2013-05-08 10:30:00,2018-04-13 18:00:00
ID_1367,val,37056,2018-04-13 18:15:00,2019-05-04 18:00:00
ID_1422,test,16826,2017-08-06 17:15:00,2018-01-28 23:30:00
ID_1422,train,78525,2014-11-17 11:15:00,2017-02-12 10:15:00
ID_1422,val,16827,2017-02-12 10:30:00,2017-08-06 17:00:00
ID_34,test,52203,2019-01-29 21:15:00,2020-07-26 15:45:00
ID_34,train,243614,2010-08-23 11:00:00,2017-08-04 02:15:00
ID_34,val,52203,2017-08-04 02:30:00,2019-01-29 21:00:00
ID_4,test,81591,2020-11-01 02:15:00,2023-02-28 23:45:00
ID_4,train,380755,2007-08-26 00:00:00,2018-07-05 04:30:00
ID_4,val,81590,2018-07-05 04:45:00,2020-11-01 02:00:00
ID_4901,test,19076,2017-08-28 07:00:00,2018-03-14 23:45:00
ID_4901,train,89018,2014-07-29 07:45:00,2017-02-10 14:00:00
ID_4901,val,19075,2017-02-10 14:15:00,2017-08-28 06:45:00
