Dataset,Rule,settings,prevalence_min,prevalence_max,persist_worse_min,persist_worse_med,persist_worse_max,mlp_worse_med,frac_positive
Ausgrid,clipping,135,0.0044,0.387666666666667,-31.9672478286699,22.5337155269228,41.9323848535908,200.509134885343,0.8888888888888888
Ausgrid,cloud,135,2.58946666666667,18.3930666666667,54.1480725658536,112.204953718433,192.223934771098,80.3119186271123,1.0
Ausgrid,combined,135,2.59386666666667,18.7700666666667,53.5779484906204,111.45523474345,191.990055003021,82.1189665777252,1.0
DKASC,cloud,135,4.18,12.86,94.6633224489084,106.17315191109,128.572144024348,71.0492087425728,1.0
DKASC,combined,135,4.18,12.86,94.6633224489084,106.17315191109,128.572144024348,71.0492087425728,1.0
HKUST,clipping,110,0.0124324324324324,0.208108108108108,-84.8929407858419,-45.077572322946196,-14.3457966656159,212.7939785931195,0.0
HKUST,cloud,135,1.8172972972973,7.74702702702703,46.7056719445257,90.0823166180616,105.214293265823,93.0893826561808,1.0
HKUST,combined,135,1.82054054054054,7.95513513513514,40.7845242186602,89.1216932200671,105.15056984761,95.4733056934322,1.0
PVDAQ,clipping,90,0.132695571671038,0.811603147662398,-77.2302175122147,-68.71556861421445,-60.0455189502098,-15.1708237341381,0.0
PVDAQ,cloud,135,3.62289770097207,10.6989662089184,34.1689180110823,104.8993488187,126.841131242532,99.4711990517304,1.0
PVDAQ,combined,135,3.62289770097207,11.5105693565808,21.9428497545472,102.317269621276,126.841131242532,97.0419145238197,1.0
