Dataset,Features,Model,Seed,Site_ID,N_test,N_rare,RMSE_kW,MAE_kW,nRMSE,MAPE_pct,RareRMSE_kW,SkillScore
DKASC,n/a,Persistence,0,DKASC_1,2000,174,2.770020944055218,1.2357850567919841,0.09722173485150903,58.8621547229076,5.047049787097365,0.0
DKASC,common,GBM,42,DKASC_1,2000,174,2.3751567471289143,1.0508814462204659,0.0833628568750406,53.77992635147061,4.694545572065867,0.14254917377925524
DKASC,common,GBM,7,DKASC_1,2000,174,2.4654517763776043,1.0858179600218738,0.08653201680896289,56.09242062974646,4.87551978169766,0.10995193676468551
DKASC,common,GBM,123,DKASC_1,2000,174,2.404525285597503,1.0642230716605525,0.08439362895858647,55.08684077492988,4.816062737322469,0.1319468934854484
DKASC,common+weather,GBM,42,DKASC_1,2000,174,2.2840515531883847,0.9466105456634786,0.08016526191537413,50.91485752086741,5.047104519617965,0.17543888681050568
DKASC,common+weather,GBM,7,DKASC_1,2000,174,2.2144050608114556,0.9511502617512879,0.077720820897793,49.43178381223785,4.924789201872716,0.20058183474611546
DKASC,common+weather,GBM,123,DKASC_1,2000,174,2.259282054141546,1.0010407775903585,0.0792959061533159,55.725090438916844,4.973192192664011,0.18438087661747693
HKUST,n/a,Persistence,0,Indoor Sports Centre,2000,120,0.5078441714738883,0.2242165,0.05923071745671662,37.20671544899282,1.0197519633061103,0.0
HKUST,n/a,Persistence,0,LSK North,2000,109,0.8272630863274391,0.346824,0.061794525441047125,40.41440314552127,1.9847036730264724,0.0
HKUST,n/a,Persistence,0,LSK South,2000,97,0.3247911097921247,0.121277,0.05548911539457197,34.19613582077178,0.8779104526582412,0.0
HKUST,n/a,Persistence,0,Library,2000,137,1.8529923889482116,0.7175195,0.055588659895248436,43.56633776473062,4.296330757530452,0.0
HKUST,n/a,Persistence,0,S H Ho Sports Hall,2000,97,0.4185492784607327,0.15645550000000003,0.04405517547481184,34.04733404607453,1.069032436605861,0.0
HKUST,n/a,Persistence,0,SQ Apartment1-12,2000,127,0.25552539599812774,0.114176,0.05857987070108384,35.186045875091395,0.479441719299358,0.0
HKUST,n/a,Persistence,0,SQ Apartment13-24,2000,122,0.24862467596761187,0.1089275,0.05723404142900826,34.52251423442159,0.5736175612351639,0.0
HKUST,n/a,Persistence,0,SQ Apartment25-36,2000,133,0.279184002048828,0.11784500000000002,0.06423930097764105,39.460910968634664,0.6407573761086126,0.0
HKUST,n/a,Persistence,0,SQ Apartment37-48,2000,127,0.16845956339727347,0.0684555,0.055214540608742535,33.02719983544705,0.34184677923368084,0.0
HKUST,n/a,Persistence,0,SQ Block P,2000,104,0.432420865014629,0.1816225,0.05659218230789543,35.339649364164224,1.1324166423728843,0.0
HKUST,n/a,Persistence,0,SQ Block R,2000,102,0.4548366058267518,0.183252,0.057486931980125354,34.14272423464169,1.199630147252093,0.0
HKUST,n/a,Persistence,0,SQ Block S,2000,113,0.3943220295646694,0.15971700000000003,0.057728205023181385,36.277842587865166,0.9746900437656728,0.0
HKUST,n/a,Persistence,0,SQ1,2000,117,0.4229516047965772,0.17111,0.0613811326182378,38.14567888195973,0.9451091421620523,0.0
HKUST,n/a,Persistence,0,SQ2,2000,115,0.3837528527581261,0.16825299999999999,0.05597328657498923,33.666434832058236,0.852179655481983,0.0
HKUST,n/a,Persistence,0,SQ3,2000,110,0.45255353329744313,0.2000845,0.06283083404451409,34.595386636439365,0.9957805846306066,0.0
HKUST,n/a,Persistence,0,SQ4,2000,107,0.45522302665836223,0.191997,0.060948323290716595,33.949019142229176,0.95057453851396,0.0
HKUST,n/a,Persistence,0,SQ567,2000,125,0.555766869289633,0.238928,0.056459344084711635,34.359954112598494,1.102399662554375,0.0
HKUST,n/a,Persistence,0,Shaw Auditorium,2000,107,1.0221294592662906,0.45080349999999997,0.0618990712237441,35.508066466993625,2.402065318510828,0.0
HKUST,n/a,Persistence,0,UG Hall2 2F,2000,108,0.17679504376537256,0.0713155,0.04347800432465126,34.498542513858176,0.4416967390181404,0.0
HKUST,n/a,Persistence,0,UG Hall2 RF,2000,141,0.09652759709015862,0.038223999999999994,0.046318424707369785,31.759135249856552,0.2179775835960079,0.0
HKUST,n/a,Persistence,0,UG Hall3,2000,121,0.36135038120915275,0.14578499999999997,0.06542646771847778,35.90732161926295,0.8921057177096491,0.0
HKUST,n/a,Persistence,0,UG Hall4,2000,109,0.39855129531843203,0.171245,0.06219589502472409,33.70541402764699,1.030583539162479,0.0
HKUST,n/a,Persistence,0,UG Hall6,2000,110,0.32833180321132466,0.144407,0.053634220514666264,35.22336261416753,0.6590277825568648,0.0
HKUST,n/a,Persistence,0,UG Hall7,2000,97,0.2588625339828072,0.10918349999999998,0.041742494895569346,31.82142149083853,0.6636797529177682,0.0
HKUST,n/a,Persistence,0,UG Hall8,2000,131,0.3386862759250809,0.1430815,0.06435617482807367,36.59886854750364,0.7616487690059273,0.0
HKUST,n/a,Persistence,0,UG Hall9,2000,127,0.3462594937326629,0.15032799999999996,0.060680850040072405,34.52322464300294,0.751498743980803,0.0
HKUST,n/a,Persistence,0,Wong Check She Research Centre,2000,121,1.4145980029676275,0.610804,0.05927689308218603,37.48032634429504,3.2395935057726963,0.0
HKUST,n/a,Persistence,0,Zone A1,2000,121,0.3807908139648329,0.16507,0.05094181268731005,35.0180218425485,0.7228674535292765,0.0
HKUST,n/a,Persistence,0,Zone A2,2000,101,2.7187929153394528,1.2149364999999999,0.05932123214586088,33.10960232896323,5.535042623285222,0.0
HKUST,n/a,Persistence,0,Zone A4,2000,113,0.7059732324953971,0.300684,0.055733262216420394,36.265556772743,1.5526109297293524,0.0
HKUST,n/a,Persistence,0,Zone A5,2000,107,0.24740239085344345,0.104808,0.06120041975399928,35.70988142224296,0.6046063985737015,0.0
HKUST,n/a,Persistence,0,Zone A6,2000,117,0.7972869608867312,0.34515900000000005,0.06284674153168919,34.686989249413855,1.6929008659340752,0.0
HKUST,n/a,Persistence,0,Zone A7,2000,113,0.14679576969381644,0.06257499999999999,0.055331990084363535,32.6484449165234,0.327841668022897,0.0
HKUST,n/a,Persistence,0,Zone D,2000,120,1.1109691343597263,0.45510749999999994,0.060996077385349276,42.24457541807178,2.2291720006166718,0.0
HKUST,n/a,Persistence,0,Zone J1,2000,127,0.34103493809285873,0.144091,0.06407131253693753,40.64737800832131,0.7727299953213227,0.0
HKUST,n/a,Persistence,0,Zone J2,2000,123,0.41522460729104194,0.1855325,0.03763925629627391,38.41486413694729,0.8514939191262277,0.0
HKUST,n/a,Persistence,0,Zone L2,2000,122,0.12080039528081024,0.05347450000000001,0.06094873626680637,35.940433815823965,0.24861089487224877,0.0
HKUST,common,GBM,42,Indoor Sports Centre,2000,120,0.4754386675172802,0.18711626615972954,0.05545120918092842,27.595312582168894,0.9700868916096709,0.06380993575757565
HKUST,common,GBM,42,LSK North,2000,109,0.7747954521983953,0.2960861987815243,0.05787532173716586,31.00306894148111,1.9340989954790233,0.06342315400771614
HKUST,common,GBM,42,LSK South,2000,97,0.3021459986183892,0.1054333661132705,0.05162029894868295,24.76473348313422,0.8042613811500071,0.0697220782558643
HKUST,common,GBM,42,Library,2000,137,1.7849476148693535,0.6760898697182126,0.053547357498930616,46.04605553020657,3.965888898668185,0.03672156155885853
HKUST,common,GBM,42,S H Ho Sports Hall,2000,97,0.40830233272490074,0.15767920043379624,0.042976614321551344,36.350497066820736,1.0561566694313105,0.024482053280599048
HKUST,common,GBM,42,SQ Apartment1-12,2000,127,0.2429040294171084,0.09868492363235716,0.05568638913734718,27.424127656629544,0.44650152901804535,0.04939378542675976
