Condition,Source,Target,Model,Seed,Site_ID,RMSE_kW,Skill_vs_naive,Skill_vs_smart
baseline_15min,-,DKASC,Persistence_naive,0,DKASC_1,2.9560481185932472,0.0,
baseline_15min,-,DKASC,Persistence_smart,0,DKASC_1,3.3261808387279523,-0.1252120078176695,
baseline_15min,-,HKUST,Persistence_naive,0,Indoor Sports Centre,0.5227441534823704,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,LSK North,0.8146554455719301,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,LSK South,0.3253492339010498,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Library,1.85829130735738,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,S H Ho Sports Hall,0.4604283853108972,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,SQ Apartment1-12,0.2616325935352857,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,SQ Apartment13-24,0.297275459801175,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,SQ Apartment25-36,0.25324539186330713,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,SQ Apartment37-48,0.17121772396571566,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,SQ Block P,0.45550414542570306,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,SQ Block R,0.4578460494533069,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,SQ Block S,0.3813640524485757,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,SQ1,0.4152140279422168,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,SQ2,0.42366062184253095,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,SQ3,0.39631231560475133,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,SQ4,0.44608594071098007,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,SQ567,0.5517138524633943,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Shaw Auditorium,1.0079342220601502,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,UG Hall2 2F,0.19290870768319401,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,UG Hall2 RF,0.09051870248738655,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,UG Hall3,0.37362427918966934,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,UG Hall4,0.3905664200875441,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,UG Hall6,0.33657675796168696,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,UG Hall7,0.2737522310411369,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,UG Hall8,0.3375094487566237,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,UG Hall9,0.32627537066104145,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Wong Check She Research Centre,1.3568909248720031,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Zone A1,0.3787643423027041,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Zone A2,2.93986375390085,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Zone A4,0.7576095052861995,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Zone A5,0.22171580908902278,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Zone A6,0.8197304648480499,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Zone A7,0.13120702153467245,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Zone D,1.1679110167302986,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Zone J1,0.33134224602365453,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Zone J2,0.3806631483345873,0.0,
baseline_15min,-,HKUST,Persistence_naive,0,Zone L2,0.11999792914879824,0.0,
baseline_15min,-,HKUST,Persistence_smart,0,Indoor Sports Centre,1.3046361621157065,-1.4957451047985861,
baseline_15min,-,HKUST,Persistence_smart,0,LSK North,2.054170502903788,-1.5215206184028567,
baseline_15min,-,HKUST,Persistence_smart,0,LSK South,0.8314827054725793,-1.5556620973186694,
baseline_15min,-,HKUST,Persistence_smart,0,Library,4.143203837430643,-1.2295771502706798,
baseline_15min,-,HKUST,Persistence_smart,0,S H Ho Sports Hall,1.0652313847235257,-1.3135658415243983,
baseline_15min,-,HKUST,Persistence_smart,0,SQ Apartment1-12,0.669461504867905,-1.5587848051417055,
baseline_15min,-,HKUST,Persistence_smart,0,SQ Apartment13-24,0.7190975660506715,-1.418960403026948,
baseline_15min,-,HKUST,Persistence_smart,0,SQ Apartment25-36,0.6366695449760417,-1.514041974432819,
baseline_15min,-,HKUST,Persistence_smart,0,SQ Apartment37-48,0.3939442009980601,-1.3008377396544692,
baseline_15min,-,HKUST,Persistence_smart,0,SQ Block P,1.0871366300976157,-1.3866668196435499,
baseline_15min,-,HKUST,Persistence_smart,0,SQ Block R,1.049594834209849,-1.2924623581728447,
baseline_15min,-,HKUST,Persistence_smart,0,SQ Block S,0.9275106619333279,-1.432087282422604,
baseline_15min,-,HKUST,Persistence_smart,0,SQ1,0.9707411264080655,-1.3379295040175245,
baseline_15min,-,HKUST,Persistence_smart,0,SQ2,0.9698498832293584,-1.2892141332640512,
baseline_15min,-,HKUST,Persistence_smart,0,SQ3,1.0469440252468132,-1.6417145872674501,
baseline_15min,-,HKUST,Persistence_smart,0,SQ4,1.0593453289650168,-1.3747561451423742,
baseline_15min,-,HKUST,Persistence_smart,0,SQ567,1.4688404120257585,-1.662322878911609,
baseline_15min,-,HKUST,Persistence_smart,0,Shaw Auditorium,2.6520979628399854,-1.6312212690023307,
baseline_15min,-,HKUST,Persistence_smart,0,UG Hall2 2F,0.4132088636513016,-1.141991767058527,
baseline_15min,-,HKUST,Persistence_smart,0,UG Hall2 RF,0.20524905724509432,-1.2674767932482793,
baseline_15min,-,HKUST,Persistence_smart,0,UG Hall3,0.836281050544612,-1.2382941824829223,
baseline_15min,-,HKUST,Persistence_smart,0,UG Hall4,0.9725329189801237,-1.490057693034987,
baseline_15min,-,HKUST,Persistence_smart,0,UG Hall6,0.873589615895244,-1.5955137876593546,
baseline_15min,-,HKUST,Persistence_smart,0,UG Hall7,0.7160798419170867,-1.6157954555975147,
baseline_15min,-,HKUST,Persistence_smart,0,UG Hall8,0.8087431783328993,-1.3962089989251822,
baseline_15min,-,HKUST,Persistence_smart,0,UG Hall9,0.8655976423835731,-1.6529665436586654,
baseline_15min,-,HKUST,Persistence_smart,0,Wong Check She Research Centre,3.5714034658660454,-1.6320490471280436,
baseline_15min,-,HKUST,Persistence_smart,0,Zone A1,0.8281463569321549,-1.1864422397774441,
baseline_15min,-,HKUST,Persistence_smart,0,Zone A2,6.710226140898681,-1.2824956197357813,
baseline_15min,-,HKUST,Persistence_smart,0,Zone A4,1.7280371714751972,-1.2809074588133664,
baseline_15min,-,HKUST,Persistence_smart,0,Zone A5,0.5874985468067134,-1.6497819403163194,
baseline_15min,-,HKUST,Persistence_smart,0,Zone A6,1.8577966668879562,-1.266350643967256,
baseline_15min,-,HKUST,Persistence_smart,0,Zone A7,0.3255848552988913,-1.481459082682195,
baseline_15min,-,HKUST,Persistence_smart,0,Zone D,2.662730330224974,-1.2799085650202993,
baseline_15min,-,HKUST,Persistence_smart,0,Zone J1,0.7816936381984952,-1.3591728720963947,
baseline_15min,-,HKUST,Persistence_smart,0,Zone J2,1.0020703837555522,-1.6324333945632516,
baseline_15min,-,HKUST,Persistence_smart,0,Zone L2,0.30440409491332404,-1.5367445677821734,
baseline_15min,-,Ausgrid,Persistence_naive,0,1,0.614613991054548,0.0,
baseline_15min,-,Ausgrid,Persistence_naive,0,10,0.27629732897731746,0.0,
baseline_15min,-,Ausgrid,Persistence_naive,0,100,0.4086986322463044,0.0,
baseline_15min,-,Ausgrid,Persistence_naive,0,101,0.2756362058946539,0.0,
baseline_15min,-,Ausgrid,Persistence_naive,0,102,0.4163693144313111,0.0,
baseline_15min,-,Ausgrid,Persistence_naive,0,103,0.3676059847173329,0.0,
baseline_15min,-,Ausgrid,Persistence_naive,0,104,0.9472184774380196,0.0,
baseline_15min,-,Ausgrid,Persistence_naive,0,105,0.2893534136657109,0.0,
baseline_15min,-,Ausgrid,Persistence_naive,0,106,0.5444800510578877,0.0,
