Control,Source,Target,Seed,Site_ID,RMSE_kW,Skill
within_same_half,HKUST-A,HKUST-A,42,Indoor Sports Centre,0.48681867340937174,0.04140147558156548
within_same_half,HKUST-A,HKUST-A,42,LSK North,0.7822020117793599,0.054470065560550784
within_same_half,HKUST-A,HKUST-A,42,LSK South,0.30716005921632983,0.054284277014476356
within_same_half,HKUST-A,HKUST-A,42,S H Ho Sports Hall,0.43413541037542913,-0.0021058015911035177
within_same_half,HKUST-A,HKUST-A,42,SQ Apartment13-24,0.285398224889199,0.005791938491566895
within_same_half,HKUST-A,HKUST-A,42,SQ Apartment37-48,0.16618343298877755,0.029527532679909152
within_same_half,HKUST-A,HKUST-A,42,SQ Block S,0.3693777288784579,0.027478801919873397
within_same_half,HKUST-A,HKUST-A,42,SQ1,0.40553484054643996,0.00678314652461065
within_same_half,HKUST-A,HKUST-A,42,SQ2,0.41373819479669033,0.04405742660147238
within_same_half,HKUST-A,HKUST-A,42,SQ4,0.4375670026503086,0.051553200255878284
within_same_half,HKUST-A,HKUST-A,42,Shaw Auditorium,1.0414526272053377,0.07948300947685383
within_same_half,HKUST-A,HKUST-A,42,UG Hall6,0.3511408518919623,0.02217573401006223
within_same_half,HKUST-A,HKUST-A,42,UG Hall7,0.2933467299324972,0.05564342359551022
within_same_half,HKUST-A,HKUST-A,42,Zone A5,0.22213816192295277,0.06674347780594969
within_same_half,HKUST-A,HKUST-A,42,Zone A6,0.777606695677708,0.03282240654044488
within_same_half,HKUST-A,HKUST-A,42,Zone D,1.067523273677346,0.017282274997944547
within_same_half,HKUST-A,HKUST-A,42,Zone J1,0.29270862340798104,0.06559040389225124
within_same_half,HKUST-A,HKUST-A,7,Indoor Sports Centre,0.4776029615060022,0.05954820723868637
within_same_half,HKUST-A,HKUST-A,7,LSK North,0.7525705939530057,0.0902886803592603
within_same_half,HKUST-A,HKUST-A,7,LSK South,0.29760705527220127,0.0836970400369702
within_same_half,HKUST-A,HKUST-A,7,S H Ho Sports Hall,0.4252189711922083,0.018475830824720152
within_same_half,HKUST-A,HKUST-A,7,SQ Apartment13-24,0.2785961593061425,0.0294874903479575
within_same_half,HKUST-A,HKUST-A,7,SQ Apartment37-48,0.16492418380998097,0.03688125401986986
within_same_half,HKUST-A,HKUST-A,7,SQ Block S,0.35227415840278853,0.07251017103070312
within_same_half,HKUST-A,HKUST-A,7,SQ1,0.3849410254931952,0.05722054953707889
within_same_half,HKUST-A,HKUST-A,7,SQ2,0.39650700126691163,0.08387011900633734
within_same_half,HKUST-A,HKUST-A,7,SQ4,0.42602280653500385,0.07657578147169608
within_same_half,HKUST-A,HKUST-A,7,Shaw Auditorium,1.026995427976864,0.09226140877946964
within_same_half,HKUST-A,HKUST-A,7,UG Hall6,0.3452245614940047,0.03865086723536448
within_same_half,HKUST-A,HKUST-A,7,UG Hall7,0.2863837764259152,0.07805891442662505
within_same_half,HKUST-A,HKUST-A,7,Zone A5,0.21817877533256866,0.08337782522008408
within_same_half,HKUST-A,HKUST-A,7,Zone A6,0.7513547075480633,0.06547430478654992
within_same_half,HKUST-A,HKUST-A,7,Zone D,1.0419327783406553,0.040839825431780996
