Model,Target,Source,n,frac_pos,median
MLP,HKUST,DKASC,37,1.0,0.04517346527902733
MLP,HKUST,Ausgrid,37,1.0,0.352282313093493
MLP,HKUST,PVDAQ,37,0.32432432432432434,-0.002622049656943598
MLP,Ausgrid,DKASC,300,0.9966666666666667,0.1680822066800266
MLP,Ausgrid,HKUST,300,1.0,0.22229295367732285
MLP,Ausgrid,PVDAQ,300,0.9633333333333334,0.08074786807710749
MLP,PVDAQ,DKASC,7,0.8571428571428571,0.07722767141962439
MLP,PVDAQ,HKUST,7,0.8571428571428571,0.021029734701327962
MLP,PVDAQ,Ausgrid,7,1.0,0.49704210192489207
LSTM,HKUST,DKASC,37,1.0,0.07123009642795843
LSTM,HKUST,Ausgrid,37,1.0,0.386011781508909
LSTM,HKUST,PVDAQ,37,0.6756756756756757,0.002228699356282726
LSTM,Ausgrid,DKASC,300,1.0,0.2890721190994062
LSTM,Ausgrid,HKUST,300,1.0,0.18544565184773038
LSTM,Ausgrid,PVDAQ,300,0.9966666666666667,0.12411847187563826
LSTM,PVDAQ,DKASC,7,0.8571428571428571,0.10522161379219114
LSTM,PVDAQ,HKUST,7,0.5714285714285714,0.002722564479573489
LSTM,PVDAQ,Ausgrid,7,1.0,0.4216022374531508
Transformer,HKUST,DKASC,37,1.0,0.052935233317342525
Transformer,HKUST,Ausgrid,37,1.0,0.4593323500844376
Transformer,HKUST,PVDAQ,37,0.972972972972973,0.015995209931979004
Transformer,Ausgrid,DKASC,300,1.0,0.28902972010414874
Transformer,Ausgrid,HKUST,300,1.0,0.22172883167079319
Transformer,Ausgrid,PVDAQ,300,1.0,0.17759847754980995
Transformer,PVDAQ,DKASC,7,0.8571428571428571,0.07512155730411005
Transformer,PVDAQ,HKUST,7,0.2857142857142857,-0.007573614747219251
Transformer,PVDAQ,Ausgrid,7,1.0,0.4111622238689165
