Model,HeldOut,nRMSE_mean,nRMSE_std,RMSE_kW_mean,Skill_mean,Skill_std,OwnClimate_nRMSE,LOCO_penalty_pct
MLP,Ausgrid,0.11980960345514734,0.004553122984348678,0.4713929992370831,-0.039561203497397515,0.04064114380621121,0.10882115034363234,10.097718207183048
MLP,DKASC,0.09166204537104443,0.002127927970258919,2.61163365120875,0.06570841042946964,0.021689513885240097,0.0919512380334162,-0.3145065455961343
MLP,HKUST,0.055770696872189385,0.00029906892036806756,0.534815863306629,0.032281486619502205,0.0054408556428301195,0.05388091201593468,3.507336430563428
MLP,PVDAQ,0.06635962736075879,0.001889232217884203,6.134096138225675,-0.0773702627357462,0.04777701587157787,0.06322135872392641,4.9639373467699395
LSTM,Ausgrid,0.12120411754467593,0.0013881634658941117,0.4772020608566534,-0.056922492558627004,0.013762853295071573,0.10737449550768291,12.879801643401878
LSTM,DKASC,0.09362656593527154,0.0008508960452719641,2.667606742287603,0.04568447322333343,0.008673001082163864,0.0890798635039989,5.1040743131230055
LSTM,HKUST,0.05480447399182278,0.0004447644567569608,0.5254413190299517,0.04870646217444272,0.007749188461806904,0.05381688307902371,1.8350949670364889
LSTM,PVDAQ,0.06661061984427273,0.0037869300959279904,6.185198567841389,-0.12520494323652767,0.19249824529226367,0.06409600724581443,3.9231969455047517
Transformer,Ausgrid,0.12139408956771303,0.0017806843829899913,0.4775067605131475,-0.056480175139745105,0.01751870019780898,0.10775920582648935,12.653103404620634
Transformer,DKASC,0.09147482311147899,0.0011584886412368532,2.6062993173374402,0.0676167268082312,0.011808226510102243,0.08836551191300461,3.518693131699933
Transformer,HKUST,0.055029750880455086,0.0009319514530925378,0.5266825521309045,0.04360740257594126,0.01675106714087603,0.053140680320742116,3.5548482787782816
Transformer,PVDAQ,0.06905473020556914,0.003821516525438937,6.5259568657874505,-0.2528680036373411,0.1914673534126121,0.06333980845136052,9.022638201688261
