Source,Target,Model,Overall_RMSE_kW,Rare_RMSE_kW,Rare_pct_worse,N_sites
Ausgrid,Ausgrid,LSTM,0.4227804214730915,0.5681817416207624,36.21249411561896,300
Ausgrid,Ausgrid,MLP,0.42844993425114114,0.5980797898950314,41.37388597997916,300
Ausgrid,Ausgrid,Transformer,0.4247671230700299,0.603971459187202,44.498125159727536,300
Ausgrid,DKASC,LSTM,2.7688151250799002,4.260964395184053,53.997785338285475,1
Ausgrid,DKASC,MLP,2.7674842239072333,4.116143389837493,48.723501052533614,1
Ausgrid,DKASC,Transformer,2.851153197288433,4.50761997582533,58.09494329137501,1
Ausgrid,HKUST,LSTM,0.7379380782908198,1.138924247286995,57.01934159691998,37
Ausgrid,HKUST,MLP,0.7147134808700097,1.0538294188956057,49.85645946723518,37
Ausgrid,HKUST,Transformer,0.7676998943237925,1.1457538131708827,51.028124723599625,37
Ausgrid,PVDAQ,LSTM,8.402798692458886,13.934539785063505,72.237179439869,7
Ausgrid,PVDAQ,MLP,8.368781032502591,13.155518670329649,65.10066261821191,7
Ausgrid,PVDAQ,Transformer,8.655776234181866,14.344640340649407,71.41742290127553,7
DKASC,Ausgrid,LSTM,0.5572973080529304,0.5935788617441455,7.984309402777057,300
DKASC,Ausgrid,MLP,0.5039313684957322,0.6365977249170516,27.268046548432793,300
DKASC,Ausgrid,Transformer,0.5693504979995206,0.6302232978386787,11.901862612778665,300
DKASC,DKASC,LSTM,2.5380621633566234,4.967761292147524,95.74936224199105,1
DKASC,DKASC,MLP,2.6198733243000034,4.867974946688417,85.88670144194039,1
DKASC,DKASC,Transformer,2.5177088683119466,4.726057989548424,87.71471955683842,1
DKASC,HKUST,LSTM,0.5535853334241999,1.2713002934246809,130.572146024671,37
DKASC,HKUST,MLP,0.5407651561267417,1.2062215588011072,124.78889561513157,37
DKASC,HKUST,Transformer,0.5370362924543984,1.2305837891449454,130.30415461650784,37
DKASC,PVDAQ,LSTM,6.596263458512921,14.898530668858287,124.39848851826987,7
DKASC,PVDAQ,MLP,6.584125049379655,14.227012327054556,117.21933560741142,7
DKASC,PVDAQ,Transformer,6.413129918008086,14.599684067536181,125.5382380575797,7
HKUST,Ausgrid,LSTM,0.5064073031134597,0.5615621889292142,11.024652613661708,300
HKUST,Ausgrid,MLP,0.5256801165497225,0.5726765740159333,10.247183027512838,300
HKUST,Ausgrid,Transformer,0.5246913067404593,0.5577326037058865,5.991476009266523,300
HKUST,DKASC,LSTM,2.6258073396746067,4.6136112180800035,75.79500573128101,1
HKUST,DKASC,MLP,2.61681968539321,4.628589181166826,76.926286518582,1
HKUST,DKASC,Transformer,2.6230311403102102,4.3573360849108695,66.14303090867007,1
HKUST,HKUST,LSTM,0.5159777196289226,1.1429129533111781,123.09488996770095,37
HKUST,HKUST,MLP,0.5169868956459227,1.121945500344009,119.39415126092842,37
HKUST,HKUST,Transformer,0.5103206794411941,1.0775164474940593,112.53002193905975,37
HKUST,PVDAQ,LSTM,6.00224410412319,13.009583636466258,118.348452999589,7
HKUST,PVDAQ,MLP,6.134348049459233,12.93582782713182,113.11831181957771,7
HKUST,PVDAQ,Transformer,5.881022254874327,12.403227859011487,111.35491191934898,7
LOCO_Ausgrid,Ausgrid,LSTM,0.4772020608566534,0.6475466703210677,36.111303848178764,300
LOCO_Ausgrid,Ausgrid,MLP,0.4713929992370831,0.6787985580639295,44.71527547145766,300
LOCO_Ausgrid,Ausgrid,Transformer,0.4775067605131475,0.6512407529261365,36.73679622282371,300
LOCO_DKASC,DKASC,LSTM,2.667606742287603,4.96816210876527,86.22459604672362,1
LOCO_DKASC,DKASC,MLP,2.61163365120875,4.66535504309396,78.64563969951818,1
LOCO_DKASC,DKASC,Transformer,2.6062993173374402,4.568342240222157,75.27215240261577,1
LOCO_HKUST,HKUST,LSTM,0.5254413190299517,1.157552640442932,122.54123680903658,37
LOCO_HKUST,HKUST,MLP,0.534815863306629,1.1658639065338432,120.59832479415203,37
LOCO_HKUST,HKUST,Transformer,0.5266825521309045,1.183991623474871,126.58287801754904,37
LOCO_PVDAQ,PVDAQ,LSTM,6.185198567841388,13.749448783410472,122.93455981892674,7
LOCO_PVDAQ,PVDAQ,MLP,6.134096138225674,14.02356663179996,128.14991561605692,7
LOCO_PVDAQ,PVDAQ,Transformer,6.5259568657874505,14.10182253250741,117.04893350316557,7
PVDAQ,Ausgrid,LSTM,0.4788914738468699,0.6590239101925414,38.21519846377734,300
PVDAQ,Ausgrid,MLP,0.46401482947258127,0.6747228472989695,46.773577622655104,300
PVDAQ,Ausgrid,Transformer,0.5037349384803587,0.7096919930162643,40.32873287049827,300
PVDAQ,DKASC,LSTM,2.6872856126318365,4.749044326604817,76.7087827103714,1
PVDAQ,DKASC,MLP,2.6975750339764133,4.583117863867483,69.8941214605155,1
PVDAQ,DKASC,Transformer,2.6612604783898797,4.64051221234885,74.40246123480345,1
PVDAQ,HKUST,LSTM,0.5167858665155012,1.1544929501943657,124.87770940314091,37
PVDAQ,HKUST,MLP,0.5147096606068096,1.1451274697600993,124.09555556516831,37
PVDAQ,HKUST,Transformer,0.5186114972781418,1.1579678623942573,124.35375268272207,37
PVDAQ,PVDAQ,LSTM,5.981318988349492,13.59956447593137,130.6926557734542,7
PVDAQ,PVDAQ,MLP,5.850444899875672,13.30878382577449,129.97601881671054,7
PVDAQ,PVDAQ,Transformer,5.958112855234345,13.353829458635254,124.92515473119353,7
