TrainedOn,Model,DKASC,HKUST,Ausgrid,PVDAQ
DKASC,MLP,0.06276073158239899,0.015433124934571467,-0.12315028781934818,-0.27109293148274055
HKUST,MLP,0.06385314710816783,0.06401383394767063,-0.1734781436146716,-0.07208635669886053
Ausgrid,MLP,0.009954082392476167,-0.28017768780600233,0.05465254434248932,-0.5455387702411136
PVDAQ,MLP,0.034963550376557,0.06789631061354806,-0.025125593670332343,0.036206813837016474
DKASC,LSTM,0.09202803695925517,-0.008793596866875206,-0.24961190830029867,-0.2047180104577314
HKUST,LSTM,0.060637883818391136,0.06452969847746066,-0.12987183773107425,-0.044499496987343956
Ausgrid,LSTM,0.009477962867979667,-0.32674286711293576,0.06815959020734873,-0.4826349989677407
PVDAQ,LSTM,0.038644510690167104,0.06350520612462922,-0.06284341175390415,-0.019283050866005912
DKASC,Transformer,0.09930926967406796,0.024854849012572466,-0.2794269266231988,-0.16940856033747587
HKUST,Transformer,0.061631047509603666,0.0776687735337173,-0.1692529414043591,0.010002388741181844
Ausgrid,Transformer,-0.0199778409084327,-0.3847494500658523,0.06224222545202442,-0.5178758415749002
PVDAQ,Transformer,0.0479547996843561,0.059138103725492976,-0.11971103452007281,-0.00963423357327937
