Dataset,Horizon_min,Horizon_steps,Model,Seed,Site_ID,N_test,N_rare,RMSE_kW,MAE_kW,nRMSE,RareRMSE_kW,RMSE_persist_kW,SkillScore
DKASC,15,1,Persistence,0,ID_DKASC_1,2000,193,2.79530904599403,1.23703832427622,0.0981086059151823,4.97423368226952,2.79530904599403,0
DKASC,15,1,MLP,42,ID_DKASC_1,2000,193,2.6949612579176,1.24631252747454,0.0945866405679305,4.93534871949999,2.79530904599403,0.0358986381918091
DKASC,15,1,MLP,7,ID_DKASC_1,2000,193,2.53040210804564,1.15706000316489,0.0888110112836972,4.81067972308747,2.79530904599403,0.0947683900383131
DKASC,15,1,MLP,123,ID_DKASC_1,2000,193,2.63425684984239,1.17858295487172,0.0924560622486209,4.85789684881966,2.79530904599403,0.0576151665170761
DKASC,15,1,LSTM,42,ID_DKASC_1,2000,193,2.59790883924055,1.164956557205,0.0911803347389746,5.00349706883127,2.79530904599403,0.0706183836940599
DKASC,15,1,LSTM,7,ID_DKASC_1,2000,193,2.46817248484586,1.12944936897305,0.0866269015919593,4.82734619345117,2.79530904599403,0.117030552173468
DKASC,15,1,LSTM,123,ID_DKASC_1,2000,193,2.54810540130385,1.17021247325628,0.0894323541810628,5.07244107475385,2.79530904599403,0.088435175010238
DKASC,15,1,Transformer,42,ID_DKASC_1,2000,193,2.48734511400865,1.09470939414095,0.0872998146358985,4.66794323696438,2.79530904599403,0.110171693690443
DKASC,15,1,Transformer,7,ID_DKASC_1,2000,193,2.53413482721574,1.10548030223129,0.0889420207241657,4.57636316354818,2.79530904599403,0.0934330388808267
DKASC,15,1,Transformer,123,ID_DKASC_1,2000,193,2.53164689714473,1.10748469840187,0.0888547003789496,4.93386800631653,2.79530904599403,0.0943230764509383
DKASC,30,2,Persistence,0,ID_DKASC_1,2000,175,3.21711865959993,1.54246023709754,0.11291310605151,5.22631500163535,3.21711865959993,0
DKASC,30,2,MLP,42,ID_DKASC_1,2000,175,2.76074293824291,1.36851913871801,0.0968954188980845,4.92267553008612,3.21711865959993,0.14185852921377
DKASC,30,2,MLP,7,ID_DKASC_1,2000,175,2.71127152932978,1.35706743102994,0.0951590917581272,4.77700513245233,3.21711865959993,0.157236081038136
DKASC,30,2,MLP,123,ID_DKASC_1,2000,175,2.84498381816913,1.36643812560836,0.0998520706151724,4.86948976169446,3.21711865959993,0.115673334062561
DKASC,30,2,LSTM,42,ID_DKASC_1,2000,175,2.52929471518838,1.21610746837685,0.0887721444651671,4.26166980527715,3.21711865959993,0.213801235574284
DKASC,30,2,LSTM,7,ID_DKASC_1,2000,175,2.59183571207095,1.28692568806784,0.0909671826222137,4.18456726708208,3.21711865959993,0.194361170254981
DKASC,30,2,LSTM,123,ID_DKASC_1,2000,175,2.57619913464315,1.26283629929655,0.090418376466084,4.44158899887956,3.21711865959993,0.199221599440938
DKASC,30,2,Transformer,42,ID_DKASC_1,2000,175,2.71020737262766,1.30285507456058,0.0951217424243677,4.99763146844078,3.21711865959993,0.157566860476109
DKASC,30,2,Transformer,7,ID_DKASC_1,2000,175,2.63112115271334,1.25803894290136,0.0923460068419231,4.92351191341602,3.21711865959993,0.182149795792569
DKASC,30,2,Transformer,123,ID_DKASC_1,2000,175,2.62971959159733,1.27919007346934,0.0922968154269723,4.77769572479453,3.21711865959993,0.182585453057441
DKASC,60,4,Persistence,0,ID_DKASC_1,2000,180,3.45634478152585,1.84156156332897,0.12130936597643,6.03234585968909,3.45634478152585,0
DKASC,60,4,MLP,42,ID_DKASC_1,2000,180,2.69474527213841,1.4605905488576,0.0945790599879857,5.20768882647746,3.45634478152585,0.220348245770556
DKASC,60,4,MLP,7,ID_DKASC_1,2000,180,2.68305581909497,1.46936838537619,0.094168788378252,5.44528668400427,3.45634478152585,0.223730273254018
DKASC,60,4,MLP,123,ID_DKASC_1,2000,180,2.76781061928804,1.48808532423535,0.0971434774572568,5.41323863268148,3.45634478152585,0.199208761208668
DKASC,60,4,LSTM,42,ID_DKASC_1,2000,180,2.53590380333436,1.32510904960005,0.0890041075195926,5.11669711241767,3.45634478152585,0.266304734154777
DKASC,60,4,LSTM,7,ID_DKASC_1,2000,180,2.52676769548377,1.33256755545765,0.0886834521680863,4.78912936656499,3.45634478152585,0.268948020177462
DKASC,60,4,LSTM,123,ID_DKASC_1,2000,180,2.58323434818485,1.39192360293286,0.0906652954941897,4.61983255531855,3.45634478152585,0.252610919491531
DKASC,60,4,Transformer,42,ID_DKASC_1,2000,180,2.49834741708651,1.29882360940661,0.0876859689390773,4.63342748895619,3.45634478152585,0.27717066004521
DKASC,60,4,Transformer,7,ID_DKASC_1,2000,180,2.49057033196131,1.245394580373,0.0874130120076027,5.00977569066866,3.45634478152585,0.279420749552128
DKASC,60,4,Transformer,123,ID_DKASC_1,2000,180,2.66151199834844,1.41911654449027,0.0934126522284556,5.46772107926969,3.45634478152585,0.229963395846905
DKASC,180,12,Persistence,0,ID_DKASC_1,2000,175,5.8834166238274,3.6531753085967,0.206493734139745,9.05708975680652,5.8834166238274,0
DKASC,180,12,MLP,42,ID_DKASC_1,2000,175,3.52557429487338,2.1096788215301,0.123739154930338,6.16447177433039,5.8834166238274,0.40076072794249
DKASC,180,12,MLP,7,ID_DKASC_1,2000,175,3.38704661651291,1.97666026325426,0.118877167514639,5.77922023689399,5.8834166238274,0.424306175633454
DKASC,180,12,MLP,123,ID_DKASC_1,2000,175,3.42255001140087,2.00430687515521,0.120123251049733,5.81260018404202,5.8834166238274,0.418271689694759
DKASC,180,12,LSTM,42,ID_DKASC_1,2000,175,3.46269686185847,1.86418819283786,0.121532308676447,6.06201063210091,5.8834166238274,0.411447959025236
DKASC,180,12,LSTM,7,ID_DKASC_1,2000,175,3.51747978465374,1.88216670764998,0.1234550571436,5.83894739487171,5.8834166238274,0.402136545896102
