Dataset,Model,Horizon_min,RMSE_mean,RMSE_std
Ausgrid,LSTM,30,0.4227804216112163,0.0005965889402610612
Ausgrid,LSTM,60,0.5154567459585503,0.0007729667554172286
Ausgrid,LSTM,180,0.5964171640288739,0.0011910118353009157
Ausgrid,MLP,30,0.42844993438093115,0.0017703058718078419
Ausgrid,MLP,60,0.5282233597149926,0.00991792794432887
Ausgrid,MLP,180,0.6235250738410779,0.012123249186338586
Ausgrid,Persistence,30,0.45499687005228934,
Ausgrid,Persistence,60,0.5949881646818753,
Ausgrid,Persistence,180,0.7774511906347762,
Ausgrid,Transformer,30,0.4247671231999453,0.0014292384310118744
Ausgrid,Transformer,60,0.5153799448915275,0.0019920324814009485
Ausgrid,Transformer,180,0.594670362567606,0.006777179275820316
DKASC,LSTM,15,2.5380622417967533,0.0654486760948599
DKASC,LSTM,30,2.56577652063416,0.03254715402076963
DKASC,LSTM,60,2.548635282334327,0.03030987685493031
DKASC,LSTM,180,3.37446985040782,0.20212171073095278
DKASC,MLP,15,2.6198734052685433,0.08321713201019502
DKASC,MLP,30,2.77233276191394,0.06760537742079854
DKASC,MLP,60,2.71520390350714,0.04593213185835147
DKASC,MLP,180,3.445056974262387,0.07195416562592302
DKASC,Persistence,15,2.79530904599403,
DKASC,Persistence,30,3.21711865959993,
DKASC,Persistence,60,3.45634478152585,
DKASC,Persistence,180,5.8834166238274,
DKASC,Transformer,15,2.5177089461230397,0.026325257349410682
DKASC,Transformer,30,2.6570160389794433,0.046070376326305416
DKASC,Transformer,60,2.5501432491320863,0.09652652220904043
DKASC,Transformer,180,3.240813228216427,0.12465121630122016
HKUST,LSTM,15,0.5159777216893092,0.006198803627497892
HKUST,LSTM,30,0.63832732136123,0.0009807695431198497
HKUST,LSTM,60,0.7795410050995196,0.0043445191023640545
HKUST,LSTM,180,1.0358070207400145,0.008282547493159917
HKUST,MLP,15,0.5169868977298328,0.0040199562518151355
HKUST,MLP,30,0.6453097920134705,0.0070079986162156155
HKUST,MLP,60,0.7976088300958804,0.01897128853104445
HKUST,MLP,180,1.0780096866408224,0.012997249627988396
HKUST,Persistence,15,0.5538959295036701,
HKUST,Persistence,30,0.7538054493076732,
HKUST,Persistence,60,1.0749851249388775,
HKUST,Persistence,180,2.169231131149859,
HKUST,Transformer,15,0.5103206814659942,0.001099249839266396
HKUST,Transformer,30,0.6393110356518584,0.005589074443035368
HKUST,Transformer,60,0.7696830831938132,0.0016828867870319097
HKUST,Transformer,180,1.0407358885196485,0.020858956177062314
PVDAQ,LSTM,15,5.981319122986854,0.08764441819953608
PVDAQ,LSTM,30,6.93430919958399,0.07824137708829648
PVDAQ,LSTM,60,8.412385067134283,0.4625944486285305
PVDAQ,LSTM,180,13.15119337509467,0.3945331890886263
PVDAQ,MLP,15,5.8504450351192405,0.07442291426290762
PVDAQ,MLP,30,7.040571621842408,0.038198141020566664
PVDAQ,MLP,60,8.655994045862208,0.0367596390852967
PVDAQ,MLP,180,13.614976654495095,0.4811692946300086
PVDAQ,Persistence,15,6.252500727590847,
PVDAQ,Persistence,30,7.964273072412174,
PVDAQ,Persistence,60,10.912944336444948,
PVDAQ,Persistence,180,22.562810399926157,
PVDAQ,Transformer,15,5.958112989848039,0.06122701936880122
PVDAQ,Transformer,30,7.061613837850803,0.26822004065862876
PVDAQ,Transformer,60,8.035461913834629,0.174328026734127
PVDAQ,Transformer,180,13.213294818083503,0.37422493010787833
