Dataset,Model,Horizon_min,Skill_mean,Skill_std
Ausgrid,LSTM,30,0.06815959020734874,0.0013628134551295276
Ausgrid,LSTM,60,0.1287030246990247,0.001090965811051617
Ausgrid,LSTM,180,0.226832435661695,0.0017017921048696218
Ausgrid,MLP,30,0.05465254434248936,0.003803308505243837
Ausgrid,MLP,60,0.10571508932242456,0.017037185620669866
Ausgrid,MLP,180,0.1887790496888746,0.01745991963394752
Ausgrid,Transformer,30,0.06224222545202446,0.0033812342983717556
Ausgrid,Transformer,60,0.12884243498527947,0.002658925109799776
Ausgrid,Transformer,180,0.22888302603403735,0.010236354203160238
DKASC,LSTM,15,0.09202803695925531,0.02341375319078005
DKASC,LSTM,30,0.20246133509006767,0.01011686464335037
DKASC,LSTM,60,0.26262122460792336,0.008769344139779365
DKASC,LSTM,180,0.4264438393260357,0.03435447863956765
DKASC,MLP,15,0.06276073158239943,0.029770279650993322
DKASC,MLP,30,0.13825598143815568,0.021014262939622802
DKASC,MLP,60,0.21442909341108066,0.013289221637800053
DKASC,MLP,180,0.414446197756901,0.012229996654412576
DKASC,Transformer,15,0.09930926967406933,0.009417655406345624
DKASC,Transformer,30,0.17410070310870632,0.01432038454311647
DKASC,Transformer,60,0.262184935148081,0.02792734183376942
DKASC,Transformer,180,0.44916135717953837,0.02118687563216092
HKUST,LSTM,15,0.06452969847746082,0.0078039215973112145
HKUST,LSTM,30,0.15338318672503015,0.0009524093202542069
HKUST,LSTM,60,0.27148484933115674,0.003442655685358113
HKUST,LSTM,180,0.5154849938583356,0.005268034818010516
HKUST,MLP,15,0.0640138339476707,0.008442924269466603
HKUST,MLP,30,0.1446146827927371,0.008623426468944347
HKUST,MLP,60,0.2554465631496599,0.017273952867018553
HKUST,MLP,180,0.49716887643924007,0.005738512921557428
HKUST,Transformer,15,0.07766877353371734,0.0024369179450758898
HKUST,Transformer,30,0.15309856073040365,0.00660572215602096
HKUST,Transformer,60,0.280032954367017,0.0020381552380992845
HKUST,Transformer,180,0.5119369310892563,0.010660827530085945
PVDAQ,LSTM,15,-0.019283050866006565,0.0482784153009675
PVDAQ,LSTM,30,0.1016622602257675,0.019615267105357014
PVDAQ,LSTM,60,0.20385815100704852,0.0581062564170949
PVDAQ,LSTM,180,0.3249859411562943,0.057403724509122254
PVDAQ,MLP,15,0.036206813837015815,0.024969603567036314
PVDAQ,MLP,30,0.07955127656803952,0.021311433914417997
PVDAQ,MLP,60,0.1648241500327288,0.015733523946297366
PVDAQ,MLP,180,0.3539693371479024,0.03954800504159892
PVDAQ,Transformer,15,-0.009634233573280289,0.037037859041920446
PVDAQ,Transformer,30,0.0734679148421792,0.05681531641437447
PVDAQ,Transformer,60,0.22185261887050453,0.023826137818681602
PVDAQ,Transformer,180,0.28442936553474546,0.08172965520183043
